City,Day,Temperature,Max_Temperature,Min_Temperature,Humidity,Rainfall,Wind_Speed,AQI
Delhi,16,38.76,40.9,38.08,63.44,0,9.92,164
Delhi,17,28.51,29.93,26.1,88.77,0,6.68,149
Delhi,18,29.93,32.36,29.4,69.21,0,17.71,259
Delhi,19,37.15,38.76,33.39,70.27,127.99,11.64,127
Delhi,20,22.34,24.79,20.75,50.4,0,15.32,203
Delhi,21,26.71,29.45,24.56,72.24,0,21.79,77
Delhi,22,36.45,40.45,32.46,55.63,0,13.43,134
Delhi,23,36,38.35,34.42,40.44,145.7,17.03,133
Delhi,24,31.02,31.3,27.51,85.19,62.15,30.98,80
Delhi,25,20.99,23.29,19.93,72.78,114.25,16.33,120
Delhi,26,34.89,36.54,33.13,76.52,0,8.53,129
Delhi,27,31.78,34.58,29.05,89.96,0,8.78,243
Delhi,28,29.39,31.68,28.87,85.63,84.41,27.47,193
Delhi,29,24.64,27.96,22.49,66.01,0,25.72,169
Delhi,30,36.2,37.17,32.54,81.66,84.8,27.07,238
Bengaluru,1,32.11,33.75,29.83,54.7,0,34.09,181
Bengaluru,2,41.26,41.73,39.23,49.19,45.84,15.72,209
Bengaluru,3,33.05,36.23,31.56,83.98,148.46,27.5,257
Bengaluru,4,40.55,42.63,37.48,54.14,0,24.28,272
Bengaluru,5,33.21,35.5,32.7,52.34,0,9.34,218
Bengaluru,6,21.75,24.36,19.71,75.45,0,19.21,161
Bengaluru,7,36.3,40.29,35,66.57,142.79,14.89,139
Bengaluru,8,41.38,45.17,38.47,83.99,0,12.88,88
Bengaluru,9,29.72,33.42,27.69,78.8,93.54,13.67,106
Bengaluru,10,36.15,39.91,34.94,49.88,32.71,28.36,111
Bengaluru,11,22.04,23.4,18.53,76.89,0,24.54,238
Bengaluru,12,31.89,35.13,29.13,43.45,16.82,31.21,178
Bengaluru,13,37.77,38.72,33.77,42.17,62.39,24.8,293
Bengaluru,14,23.94,27.14,20.15,70.39,0,21.99,87
Bengaluru,15,34.96,36.63,31.87,69.79,83.83,31.97,195
Bengaluru,16,34.8,38.28,34.59,64.3,0,17.21,123
Bengaluru,17,21.74,22.02,19.71,45.86,0,21.77,123
Bengaluru,18,30.19,33.71,29.36,77.16,0,33.56,172
Bengaluru,19,31.07,31.57,28.29,62.4,50.9,22.88,280
Bengaluru,20,35.64,38.03,33.75,86.97,0,17.8,92
Bengaluru,21,34.79,36.96,33.13,82.64,0,13.92,287
Bengaluru,22,30.56,34.26,28.26,53.17,0,13.65,275
Bengaluru,23,22.44,23.09,19.66,67.57,0,9.9,85
Bengaluru,24,36.83,36.91,35.99,78.02,0,16.63,157
Bengaluru,25,37.64,39.9,33.95,47.72,0,18.88,207
Bengaluru,26,24.65,25.73,21.95,72.47,42.84,19.95,135
Bengaluru,27,34.01,37.43,33.31,60.02,16.84,28.03,85
Bengaluru,28,25.83,29.74,22.38,61.71,0,17.18,185
Bengaluru,29,33.95,36.59,30.31,36.24,59.86,32.63,75
Bengaluru,30,26.04,28.31,24.76,53.21,0,32.85,103
Hyderabad,1,24.94,27.9,21.18,62.27,0,22.46,224
Hyderabad,2,34.01,37.74,33.52,59.63,0,21.74,74
Hyderabad,3,21.97,23.24,20.87,45.16,0,29.68,219
Hyderabad,4,38.87,40.25,35.73,43.51,0,12.57,84
Hyderabad,5,40.14,40.17,38.5,59.28,0,6.16,252
Hyderabad,6,23.32,23.46,22.65,40.54,119.1,13.19,110
Hyderabad,7,28.32,30.61,27.86,55.45,0,23.93,199
Hyderabad,8,41.53,43.46,40.59,64.25,6.27,32.51,174
Hyderabad,9,40.92,43.21,38.49,50.66,19.66,23.71,171
Hyderabad,10,41.14,44.47,38.43,40.33,143.35,21.5,129
Hyderabad,11,41.97,42.04,38.6,70.52,0,21.27,224
Hyderabad,12,40.52,42.02,36.88,78.72,91.52,27.32,206
Hyderabad,13,36.14,36.37,33.92,43.73,0,19.56,71
Hyderabad,14,35.15,35.79,31.75,71.04,0,8.75,231
Hyderabad,15,30.32,32.76,27.84,68.54,0,15.61,237
Hyderabad,16,40.78,42.49,40.22,88.65,0,29.93,193
Hyderabad,17,24.55,24.62,22.71,81.9,0,21.96,257
Hyderabad,18,24.36,26.16,24.1,87.05,126,27.29,271
Hyderabad,19,26.15,28.8,25.25,53.08,13.2,12.2,195
Hyderabad,20,21.76,24.62,20.76,49.97,0,17,232
Hyderabad,21,33.11,33.14,31.79,64.73,49,27.68,182
Hyderabad,22,32.42,32.51,30.63,56.52,0,11.85,203
Hyderabad,23,31.29,34.2,28.85,57.1,76.81,28.95,250
Hyderabad,24,22.64,23.15,22.09,75.62,0,12.91,250
Hyderabad,25,37.92,38.77,36.29,75.93,124.87,18.58,285
Hyderabad,26,38.54,39,36.71,50.94,0,28.7,125
Hyderabad,27,29.91,31.85,27.79,85.22,0,8.02,145
Hyderabad,28,23.96,25.53,21.77,71.02,59.67,11.58,206
Hyderabad,29,36.8,38.18,32.81,59.37,0,34.74,248
Hyderabad,30,21.48,22.53,20.85,47.83,0,7.83,164
Ahmedabad,1,41.93,44.4,38.31,41.68,0,11.17,66
Ahmedabad,2,27.59,30.6,27.1,54.57,0,32.38,119
Ahmedabad,3,36.15,38.17,35.73,50.65,0,11.03,106
Ahmedabad,4,29.25,33.02,26.14,39.82,0,18.45,110
Ahmedabad,5,36.29,37.55,34.11,83.23,0,27.97,158
Ahmedabad,6,20.02,20.27,19.87,42.18,31.74,19.54,290
Ahmedabad,7,41.53,45.29,39.55,38.42,0,31.4,99
Ahmedabad,8,34.31,35.2,31.96,56.7,149.44,16.27,186
Ahmedabad,9,31.17,33.31,27.25,77.09,0,21,214
Ahmedabad,10,36.46,40.06,34.81,53.94,0,24.37,123
Ahmedabad,11,25.1,25.21,23.16,84.57,0,13.76,113
Ahmedabad,12,40.03,41.3,39.14,54.9,130.84,22.79,84
Ahmedabad,13,31.77,35.36,28.85,60.53,0,20.36,133
Ahmedabad,14,39.1,43,35.4,61.38,37.4,13.82,192
Ahmedabad,15,32.12,35.95,29.05,65.48,39.45,5.28,72
Ahmedabad,16,26.54,26.79,23.78,65.62,108.56,25.67,157
Ahmedabad,17,34.66,35.74,31.38,44.38,0,14.82,76
Ahmedabad,18,23.83,25.62,20.91,61.38,0,9.11,99
Ahmedabad,19,26.67,29.24,22.8,75.16,0,17.39,273
Ahmedabad,20,30.54,33.33,28.48,62.46,0,27.79,186
Ahmedabad,21,22.84,25.22,20.36,41.22,115.46,17.5,206
Ahmedabad,22,35.06,37.9,33.46,61.95,0,7.01,263
Ahmedabad,23,25.4,26.95,23.22,49.95,0,21.11,98
Ahmedabad,24,20.44,23.94,17.49,49.96,0,18.98,157
Ahmedabad,25,26.26,29.15,25.79,38.75,0,23.54,99
Ahmedabad,26,26.66,27.76,24.25,62.88,4.89,21.78,222
Ahmedabad,27,33.94,35.78,30.86,46.04,13.22,26.38,240
Ahmedabad,28,36.81,39.86,35.46,87.01,0,19.45,52
Ahmedabad,29,36.5,37.79,35.04,82.18,0,29.15,72
Ahmedabad,30,37.24,38.11,34.87,46.56,0,22.56,297
Chennai,1,31.6,34.44,29.92,83.12,0,29.2,54
Chennai,2,27.65,27.93,25.64,87.63,0,31.68,112
Chennai,3,24.36,27.41,21.24,53.61,0,34.64,51
Chennai,4,27.41,30.04,26.09,58.59,53.92,6.75,75
Chennai,5,29.6,30.3,27.35,57.68,47.87,5.14,229
Chennai,6,26.94,29.23,25.15,71.15,11.72,23.97,271
Chennai,7,27.49,29.83,24,64.58,0,10.69,121
Chennai,8,29.95,31.87,28.59,57.06,58.43,19.98,58
Chennai,9,21.69,24.96,19.37,80.17,0,34.7,262
Chennai,10,27.36,28.32,26.55,65.45,42.16,10.52,176
Chennai,11,36.14,37.46,35.2,63.92,0,12.25,249
Chennai,12,39.34,42.6,38.75,76.84,0,28.49,246
Chennai,13,25.5,29.09,24.1,74.56,0,12.18,93
Chennai,14,37.1,39.83,36.79,54.05,41.19,11.47,62
Chennai,15,21.94,25.61,20.35,74.17,86.31,26.14,216
Chennai,16,27.62,31.36,24.55,60.99,68.78,33.88,300
Chennai,17,37.56,38.35,37.01,89.49,0,29.23,205
Chennai,18,29.59,31.7,29.01,82.4,0,21.61,103
Chennai,19,38.08,38.15,35.55,76.85,0,16.44,128
Chennai,20,41.49,44.14,40.44,44.64,0,23.79,264
Chennai,21,37.68,41.19,35.67,47.09,14.91,13.76,69
Chennai,22,20.62,23.8,16.86,58.9,0,11.52,166
Chennai,23,28.11,28.59,25.09,40.43,0,29.96,285
Chennai,24,36.44,39.14,35.82,82.9,0,5.5,88
Chennai,25,21.82,22.12,18.74,75.58,64.36,32.81,86
Chennai,26,26.24,26.32,25.29,71.56,41.23,23.46,276
Chennai,27,29.17,30.06,28.69,63.22,0,12.86,218
Chennai,28,41.15,41.36,39.45,86.16,0,22.35,247
Chennai,29,39.09,40.93,36.3,65.78,19.54,32.82,158
Chennai,30,35.47,37.14,34.75,49.5,0,33.08,141
Kolkata,1,35.3,39.13,35.27,38.81,25.11,11.55,198
Kolkata,2,36.04,38.08,34.76,65.16,87.82,6.48,245
Kolkata,3,38.72,42.45,37.78,59.9,131.34,22.46,155
Kolkata,4,21,21.89,17.73,51.27,132.77,14.23,286
Kolkata,5,40.97,41.16,39.74,47.67,95.69,18.32,245
Kolkata,6,29.57,31.86,26.74,58.24,31.62,20.62,216
Kolkata,7,41.97,44.82,38.15,57.98,86.81,8.1,219
Kolkata,8,21.38,24.63,21.03,55.16,132.68,5.41,276
Kolkata,9,40.2,42.75,39.47,61.14,0,11.04,101
Kolkata,10,26.92,30.48,23,69.51,0,15.76,80
Kolkata,11,28.36,29.35,25.61,86.25,0,17.98,187
Kolkata,12,31.65,34.13,28.11,89.56,0,29.97,191
Kolkata,13,29.96,33.5,28.53,74.69,26.31,34.9,261
Kolkata,14,29.35,32.65,27.66,35.93,0,7.33,112
Kolkata,15,38.34,41.4,34.59,75.95,0,10.63,189
Kolkata,16,36.2,36.91,34.74,57.13,100,31.09,270
Kolkata,17,30.58,33.89,28.98,43.88,0,17.42,86
Kolkata,18,34.46,36.95,34.19,75.52,0,6.58,70
Kolkata,19,31.99,35.62,29.12,67.5,100.34,12.03,151
Kolkata,20,38.28,38.97,37.11,42.5,140.91,23.14,54
Kolkata,21,24.95,27.95,24.51,76.33,147.24,25.77,226
Kolkata,22,22.87,25.84,20.27,81.83,0,17.03,160
Kolkata,23,23.15,25.9,22.98,85.73,0,28.34,276
Kolkata,24,22.64,24.88,21.55,87.83,0,10.35,278
Kolkata,25,41.1,42.49,39.65,60.43,78.08,17.05,171
Kolkata,26,41.2,41.47,40.1,85.09,0,33.21,114
Kolkata,27,34.52,37.78,33.8,56.89,48.23,30.8,276
Kolkata,28,40.49,41.8,39.17,73.55,0,24.33,221
Kolkata,29,24.29,26.74,22.82,44.5,65.8,29.46,227
Kolkata,30,29.96,30.09,28.76,73.65,19.39,33.76,185
Pune,1,33.56,35.59,30.73,56.56,0,8.53,148
Pune,2,28.74,29.41,28.22,45.46,87.8,23.63,276
Pune,3,26.33,29.71,25.14,51.51,81.1,13.95,140
Pune,4,37.8,39.22,36.37,73.03,0,13.95,286
Pune,5,25.59,29.37,24.71,62.99,11.75,30.05,70
Pune,6,27.28,29.84,25.72,59.26,0,31.37,88
Pune,7,25.82,26.64,23.34,71.59,0,33.26,111
Pune,8,20.38,23.42,18.87,85.8,0,18.3,69
Pune,9,33.39,36.23,30.5,51.01,0,26.88,127
Pune,10,39.34,42.81,37.27,55.67,0,23.7,238
Pune,11,41.03,44.21,38.65,63.94,0,15.62,123
Pune,12,31.37,32.24,29.77,38.5,147.28,30.85,134
Pune,13,37.87,39.17,37.38,37.07,0,27.22,182
Pune,14,37.85,40.91,35.67,56.56,0,28.42,277
Pune,15,32.63,35.19,30.84,83.78,0,31.55,110
Pune,16,25.55,26.03,22.16,75.21,130.73,10.57,50
Pune,17,30.32,31.17,28.99,35.79,0,28.19,137
Pune,18,27.69,28.02,25.98,72.56,33.52,6.01,231
Pune,19,39.11,42.92,38.2,58.58,63.92,10.17,62
Pune,20,25.95,28.07,25.72,63.22,0,12.3,202
Pune,21,21.18,22.62,19.78,72.33,85.24,33.97,270
Pune,22,25.79,26.67,23.91,38.79,0,22.73,232
Pune,23,38.03,39.24,36.37,52.6,0,11.97,257
Pune,24,27.04,28.36,23.79,40.56,0,19.8,241
Pune,25,32.63,34.6,31.57,50.19,119.26,32.88,234
Pune,26,34.17,36.2,32.68,87.26,0,17.98,227
Pune,27,20.65,23.49,17.95,83.49,0,22.96,269
Pune,28,23.51,26.09,20.4,81.18,0,19.41,113
Pune,29,38.03,39.05,35.23,59.98,0,23.67,142
Pune,30,23.92,25.3,22.71,63.64,137.51,33.22,138
Jaipur,1,37.16,38.37,34.82,82.73,13.46,32.07,233
Jaipur,2,24.25,26.42,23.75,69.27,0,26.6,264
Jaipur,3,40.51,43.77,37.18,85.57,62.31,15.76,189
Jaipur,4,29.95,31.19,27.63,41.71,142.71,26.66,141
Jaipur,5,20.91,23.02,20.52,69.76,0,5.19,188
Jaipur,6,22.3,26.14,19.87,78.89,33.76,6.64,144
Jaipur,7,34.87,37.26,34.61,65.39,6.91,25.87,116
Jaipur,8,31.42,34.99,29.75,82.26,0,5.24,247
Jaipur,9,36.94,38.8,34.81,35.7,0,18.58,92
Jaipur,10,34.99,37.49,31.29,76.46,103.98,16.3,85
Jaipur,11,40.31,42.65,37.29,46.25,141.85,7.21,53
Jaipur,12,34.06,34.2,34,81.32,0,21.21,163
Jaipur,13,29.5,30.89,25.6,76.1,0,23.47,206
Jaipur,14,22.78,26.22,22.72,55.82,0,20,117
Jaipur,15,39.32,41.84,36.64,36.79,0,34.21,260
Jaipur,16,38.94,41.89,37.13,63.59,0,33.68,109
Jaipur,17,41.25,44.53,37.92,47.52,0,16.52,109
Jaipur,18,39.12,40.56,38.49,74.99,0,21.49,72
Jaipur,19,37.39,40.06,35.63,89.22,0,24.77,194
Jaipur,20,41.71,43.28,41.54,58.39,0,22.66,147
Jaipur,21,28.06,31.68,24.48,54.72,0.74,30.47,186
Jaipur,22,24.74,26.12,22.33,58.38,85.57,26.12,214
Jaipur,23,41.96,42.53,41.67,76.66,31.46,25.03,56
Jaipur,24,22.21,24.88,21.88,54.61,23.27,8.08,223
Jaipur,25,36.17,36.46,34.44,52.63,27.68,18.41,226
Jaipur,26,22.82,23.88,20.93,87.98,0,10.56,102
Jaipur,27,24.24,25.29,21.96,87.69,0,30.86,234
Jaipur,28,22.33,23.36,18.58,67.62,0,10.12,93
Jaipur,29,32.95,33.68,29.43,89.75,0,24.38,69
Jaipur,30,22.01,25,18.99,80.53,100.85,8.3,105
Lucknow,1,34.07,37.02,31.37,87.68,8.67,9.02,231
Lucknow,2,22.37,24.73,21.18,47.9,0,30.57,214
Lucknow,3,26.89,28.62,26.53,53.01,149.78,19.78,172
Lucknow,4,20.92,24.72,20.56,74.46,101.12,13.17,177
Lucknow,5,28.7,31.34,26.52,48.14,0,24.55,161
Lucknow,6,37.83,41.6,34.46,56.49,0,7.28,269
Lucknow,7,35.19,37.16,34.3,43.18,24.15,23.8,178
Lucknow,8,22.58,22.64,20.84,77.57,0,32.94,219
Lucknow,9,28.57,32.27,28.53,54.5,0,11.54,62
Lucknow,10,35.35,38.76,33.43,46.06,80.12,13.06,92
Lucknow,11,40.48,40.64,38.09,42.79,11.94,34.16,156
Lucknow,12,23.94,27.02,20.52,78.27,0,10.89,161
Lucknow,13,41.87,45.04,39.57,72.36,0,21.27,266
Lucknow,14,26.72,28.49,26.69,53.56,0,9.72,211
Lucknow,15,31.03,31.04,30.88,54.52,0,21.58,199
Lucknow,16,25.18,27.81,22.64,60.2,0,31.85,102
Lucknow,17,33.1,35.6,29.63,77.1,0,34.65,69
Lucknow,18,33.41,34.11,33.11,52.56,83.32,25.42,204
Lucknow,19,28.4,28.82,25.7,73.81,69.56,16.43,133
Lucknow,20,38.2,41.09,37.07,67.92,0,31.94,166
Lucknow,21,28.7,28.78,25.78,79.05,132.02,20.32,238
Lucknow,22,27.75,27.85,25.15,72.91,0,26.15,114
Lucknow,23,33.57,37.46,33.06,35.1,101.03,22.91,257
Lucknow,24,21.88,22.73,19.91,61.53,0,33.95,261
Lucknow,25,23.45,26.6,21.23,41.28,0,12.95,89
Lucknow,26,34.67,36.02,34.16,85.1,0,32.58,84
Lucknow,27,30.16,30.37,27.18,36.33,0,14.75,292
Lucknow,28,34.81,38.46,31.87,57.92,0,14.02,239
Lucknow,29,33.32,36.47,29.97,46.47,0,18.76,183
Lucknow,30,24.26,26.01,20.87,48.5,8.47,11.26,67
Kanpur,1,26.71,30.44,25.85,66.2,130.86,19.1,179
Kanpur,2,41,43.18,39.51,82.44,0,21.32,266
Kanpur,3,20.85,21.63,17.84,36,0,11.59,293
Kanpur,4,37.11,39.97,33.58,35.75,0,10.68,78
Kanpur,5,39.35,41.81,37.5,77.12,0,7.83,253
Kanpur,6,33.39,34.47,31.3,80.23,0,11.47,272
Kanpur,7,34.54,36.58,31.07,60.96,39.66,10.07,270
Kanpur,8,40.06,44.04,37.45,48.03,6.92,18.66,146
Kanpur,9,28.11,31.9,24.66,86.34,0,11.92,257
Kanpur,10,36.54,40.45,34.76,68.06,0,22.56,279
Kanpur,11,34.66,36.57,33.03,64.14,0,18.78,120
Kanpur,12,39.52,43.52,38.87,70.89,41.16,14.41,120
Kanpur,13,35.93,38.08,34.02,39.75,0,15.2,105
Kanpur,14,36.06,36.57,32.12,40.12,0,26.89,71
Kanpur,15,27.93,28.61,24.08,60.19,140.02,29.32,186
Kanpur,16,26.26,29.77,24.22,49.6,53.01,16.73,242
Kanpur,17,24.68,25.86,23.08,52.75,0,20.08,166
Kanpur,18,41.28,44.79,39.99,72.48,0,21.87,51
Kanpur,19,23.38,24.45,21.66,66.17,0,11.53,126
Kanpur,20,41.85,43.85,41.06,59.28,0,17,197
Kanpur,21,30.7,33.48,30.62,69.58,0,27.52,273
Kanpur,22,26.73,28.97,24.57,53.46,0,7.94,249
Kanpur,23,41.05,41.65,38.74,73.16,12.83,11.73,227
Kanpur,24,34.06,36.42,30.4,45.48,70.59,12.36,268
Kanpur,25,21.35,23.24,20.16,83.29,0,11.06,122
Kanpur,26,24.1,27.01,23.76,42.77,0,9.98,192
Kanpur,27,38.51,39.05,34.99,76.56,0,10.49,68
Kanpur,28,36.75,37.52,35.26,50.75,0,6.01,210
Kanpur,29,30.97,32.35,30.48,46.05,103.99,26.47,296
Kanpur,30,39.73,43.71,38.01,77.72,0,17.29,277
Nagpur,1,38.06,40.52,34.52,82.94,0,11.82,239
Nagpur,2,37.64,39.63,34.27,35.63,0,29.04,288
Nagpur,3,26.89,29.6,25.54,62.54,107.45,6,150
Nagpur,4,24.7,27.04,22.4,75.48,38.48,5.7,248
Nagpur,5,20.41,22.74,19.77,54.85,0,24.97,162
Nagpur,6,34.85,36.49,34.52,61.57,0,9.56,71
Nagpur,7,28.42,29.43,27.92,88.4,0,11.26,112
Nagpur,8,28.23,31.94,25.21,67.33,0,12.61,232
Nagpur,9,28.46,32.04,26.03,83.42,0,25.98,289
Nagpur,10,29.24,30.33,27.2,35.76,0,7.56,300
Nagpur,11,33.12,33.93,29.13,71.38,147.2,34.07,144
Nagpur,12,25.41,25.42,22.45,85.29,0,7.22,64
Nagpur,13,22.63,25.64,21.89,77.67,0,10.92,268
Nagpur,14,35.05,38.18,33.44,61.66,77,13.13,182
Nagpur,15,37.13,40.96,36.28,89.97,0,9.54,113
Nagpur,16,30.45,33.48,29.29,46.62,24.42,8.79,129
Nagpur,17,36.91,39.75,33.35,84.74,0,11.25,109
Nagpur,18,38.87,41.98,36.95,49.67,0,7.69,176
Nagpur,19,21.39,24.62,17.5,46.12,0,33.61,219
Nagpur,20,26.92,29.78,25.82,49.9,0,16.47,235
Nagpur,21,21.09,21.22,19.75,79.22,79.91,21.35,217
Nagpur,22,20.32,22.3,19.08,37.87,0,7.5,287
Nagpur,23,41.01,44.98,38.61,71.26,4.03,7.42,212
Nagpur,24,30.49,32.89,28.59,49.16,6.28,19.49,98
Nagpur,25,35.41,39.07,31.98,45.39,0,13.24,181
Nagpur,26,25.16,27.94,22.37,76.35,0,16.11,219
Nagpur,27,26.87,27.43,24.36,74.35,32.34,6.47,168
Nagpur,28,21.21,22.79,20.28,55.89,70.31,13.04,215
Nagpur,29,31.97,32.11,31.44,72.35,0,22.52,161
Nagpur,30,38.57,38.75,35.22,35.54,42.78,24.57,177
Indore,1,32.97,34.48,29.17,52.79,63.88,31.05,224
Indore,2,36.21,38.81,35.75,83.53,91,26.66,128
Indore,3,29.56,33.5,27.73,80.04,0,12.69,269
Indore,4,29.02,30.69,26.94,62.5,122.61,14.09,217
Indore,5,30.28,32.66,27.73,43.92,0,19.44,162
Indore,6,24.06,27.25,21.57,84.65,84.63,10.66,200
Indore,7,35.76,39.62,32.41,67.05,91.08,21.63,166
Indore,8,39.84,42.27,36.62,79.43,127.07,11.72,209
Indore,9,22.65,25.06,21.86,76.73,131.37,29.37,279
Indore,10,38.27,40.37,35.1,43.69,0,13.72,237
Indore,11,32.3,34.62,31.03,77.79,0,9.5,65
Indore,12,39.44,40.3,38.43,72.21,0,17.12,215
Indore,13,29.15,29.36,25.44,76.41,139.4,27.44,107
Indore,14,40.46,42.29,39.96,88.9,119.36,27.54,119
Indore,15,24.71,27.57,22.09,73.51,0,23.38,152
Indore,16,20.17,22.96,17.92,58.84,0,24.3,115
Indore,17,26.34,28.68,25.67,51.41,84.76,26.35,246
Indore,18,33.12,33.46,29.3,80.84,72.57,26.88,118
Indore,19,27.21,29.52,23.5,90,0,16.73,218
Indore,20,37.09,39.04,33.71,48.32,0,24.8,107
Indore,21,35.72,35.75,32.42,36.55,0,18.3,109
Indore,22,23.71,25.45,23.54,37.33,0,24.71,236
Indore,23,39.1,41.92,35.31,83.43,22.29,23.35,273
Indore,24,37.61,41.09,33.78,74.75,0,34.04,293
Indore,25,25.26,25.95,21.35,49.92,80.84,29.02,211
Indore,26,39.11,39.94,36.19,79.96,142.94,27.85,194
Indore,27,22.51,26.21,21.56,70.73,0,24.1,66
Indore,28,22.04,22.74,20.85,82.94,0,27.72,224
Indore,29,33.83,35.76,32.66,78.85,141.26,14.97,111
Indore,30,39.64,41.26,36.16,80.47,89.27,11.87,51
Thane,1,27.24,27.82,25.94,82.02,0,24.52,73
Thane,2,35.8,37.93,34.77,61.66,0,20.93,259
Thane,3,25.85,26.84,23.29,60.16,0,29.72,249
Thane,4,27.51,29.37,26.59,35.26,24.71,21.83,181
Thane,5,25.32,28.97,23,39.07,0,26.64,162
Thane,6,31.2,32.6,28.74,78.48,0,17.65,187
Thane,7,20,20.24,16.49,54.81,21.78,14.2,288
Thane,8,39.38,39.61,35.98,46.4,0,11.83,160
Thane,9,33.54,35.72,31.48,53.83,66.75,18.82,63
Thane,10,20.89,23.29,20.74,85.81,0,34.44,195
Thane,11,40.9,41.3,36.92,56.12,11.78,12.3,289
Thane,12,33.18,33.77,32.48,38.79,0,34.15,176
Thane,13,26.49,26.73,23.66,85.33,0,16.49,79
Thane,14,39.44,43.36,36.37,54.15,0,10.64,201
Thane,15,32.9,35.18,32.73,66.16,0,23.84,157
Thane,16,35.87,36.18,32.08,69.6,0,29.08,197
Thane,17,33.74,34.32,30.76,89.54,42,10.39,120
Thane,18,25.69,27.2,25.23,70.92,0,29.99,191
Thane,19,30.04,32.99,26.98,66.79,0,21.48,249
Thane,20,25.81,29.71,25.51,52.27,0,18.99,209
Thane,21,24.24,24.61,24.19,67.45,0,27.69,71
Thane,22,37.8,39.01,36.35,62.57,0,6.37,157
Thane,23,21.94,22.35,19.56,62.07,0,12.07,78
Thane,24,20.34,24.25,19.95,53.73,0,16.1,55
Thane,25,26.34,30.09,25.66,48.2,0,18.48,145
Thane,26,41.85,45.29,39.69,59.27,40.51,14.01,89
Thane,27,38.32,39.72,38.04,84.76,12.89,15.93,241
Thane,28,31.34,33.9,28.6,71.39,0,12.98,228
Thane,29,40.73,44.37,37.22,39.7,0,23.36,79
Thane,30,40.21,43.62,38.53,88.52,17.18,14.74,240
Bhopal,1,29.42,32.39,29,78.47,0,12.81,204
Bhopal,2,28.43,29.04,28.07,51.33,0,12.72,102
Bhopal,3,25.16,25.97,22.15,75.02,0,7.21,282
Bhopal,4,23.4,23.66,21.19,38.4,0,34.2,185
Bhopal,5,25.09,26.51,24.62,61.73,11.56,12.63,300
Bhopal,6,31.63,33.89,28.91,37.11,0,5.99,162
Bhopal,7,32.26,33.62,29.62,59.63,0,20.18,264
Bhopal,8,41.75,43.21,41.24,39.94,114.03,8.13,52
Bhopal,9,33.22,35.61,31.58,68.06,0,7.8,278
